id;date;details;status;payment_method;payment_date;payment_amount
1;2022-07-18T21:10:57;RAM systemic;PAID;CASH_ON_DELIVERY;2022-07-19T01:36:52;5801
2;2022-07-18T15:25:08;Idaho calculating model;ISSUED;CREDIT_CARD;2022-07-18T17:40:05;75071
3;2022-07-18T14:11:06;program SQL;CANCELLED;CREDIT_CARD;2022-07-18T12:50:30;79944
4;2022-07-19T01:05:13;Soft Central;PAID;CASH_ON_DELIVERY;2022-07-18T22:20:54;8068
5;2022-07-19T05:12:05;Bhutanese;CANCELLED;PAYPAL;2022-07-19T07:01:38;87472
6;2022-07-18T17:48:33;Engineer Shirt Court;CANCELLED;PAYPAL;2022-07-19T09:33:00;62834
7;2022-07-19T05:20:55;program transmitting parse;PAID;CREDIT_CARD;2022-07-18T20:21:13;38509
8;2022-07-18T20:02:31;Dynamic iterate;PAID;CREDIT_CARD;2022-07-18T16:19:19;6085
9;2022-07-18T12:56:14;black Maine;PAID;CREDIT_CARD;2022-07-18T15:38:19;11254
10;2022-07-19T02:11:35;Lead Well;CANCELLED;PAYPAL;2022-07-18T15:28:43;85804
