id;placed_date;status;code
1;2022-07-19T04:34:55;COMPLETED;Electronics
2;2022-07-18T22:56:54;COMPLETED;payment PCI violet
3;2022-07-19T09:25:47;CANCELLED;background out-of-the-box withdrawal
4;2022-07-18T13:28:48;COMPLETED;Music real-time
5;2022-07-18T21:32:57;CANCELLED;Hat
6;2022-07-19T10:17:45;PENDING;solid navigating
7;2022-07-18T20:13:31;PENDING;Toys maroon
8;2022-07-19T09:03:05;COMPLETED;Developer
9;2022-07-18T16:31:29;COMPLETED;Credit Soft Cotton
10;2022-07-19T07:14:05;CANCELLED;contingency Bedfordshire
